uid,等级,渠道,ip地址
1000833,1,mnwwest,"177.228.46.37, 15.158.29.116"
1002933,1,mnwwest,"191.254.195.182, 15.158.19.167"
1003233,1,mnwwest,"148.63.70.97, 64.252.170.158"
1007533,1,mnwwest,"168.0.186.112, 130.176.220.47"
1008333,1,mnwwest,"172.58.217.91, 70.132.21.83"
1009533,1,mnwwest,"172.58.31.195, 15.158.15.12"
1011433,1,mnwwest,"45.21.78.184, 15.158.2.4"
1000534,1,mnwwest,"180.74.243.188, 130.176.7.159"
1002534,1,mnwwest,"99.49.7.179, 130.176.210.78"
1006334,1,mnwwest,"23.162.48.34, 130.176.210.78"
1006934,1,mnwwest,"101.78.108.91, 130.176.187.74"
1008434,1,mnwwest,"210.186.105.205, 130.176.7.158"
1008534,1,mnwwest,"189.238.122.173, 15.158.15.12"
1009034,1,mnwwest,"65.24.204.190, 15.158.2.13"
1009334,1,mnwwest,"168.227.97.85, 130.176.40.165"
1000035,1,mnwwest,"45.251.66.49, 130.176.93.161"
1000335,1,mnwwest,"45.170.210.135, 130.176.164.15"
1000735,1,mnwwest,"66.110.154.103, 130.176.130.13"
1001735,1,mnwwest,"189.113.67.79, 15.158.37.12"
1002635,1,mnwwest,"168.195.157.80, 130.176.164.14"
1003035,1,mnwwest,"200.36.217.151, 130.176.40.132"
1004035,1,mnwwest,"179.60.3.161, 130.176.220.37"
1004135,1,mnwwest,"177.64.199.194, 15.158.8.168"
1005035,1,mnwwest,"101.100.131.221, 130.176.150.8"
1005935,1,mnwwest,"191.55.80.186, 15.158.19.178"
1006535,1,mnwwest,"170.81.3.115, 15.158.37.5"
1007135,1,mnwwest,"191.6.22.111, 15.158.8.175"
1007835,1,mnwwest,"189.140.150.47, 70.132.6.146"
1009235,1,mnwwest,"177.231.3.16, 15.158.29.87"
1000036,1,mnwwest,"177.71.107.226, 15.158.37.40"
1003236,1,mnwwest,"201.97.161.253, 130.176.56.149"
1004636,1,mnwwest,"187.114.4.95, 130.176.40.157"
1004736,1,mnwwest,"177.244.230.130, 15.158.29.84"
1006536,1,mnwwest,"186.249.82.21, 15.158.8.136"
1007136,1,mnwwest,"112.201.241.252, 130.176.93.16"
1008536,1,mnwwest,"177.225.211.204, 130.176.4.67"
1009136,1,mnwwest,"136.158.35.1, 130.176.93.139"
1009236,1,mnwwest,"166.205.209.44, 70.132.9.150"
